sexo,idade,altura,peso,historico_obesidade_familia,consome_comida_calorica,consome_vegetais,n_refeicoes,come_entre_refeicoes,fuma,consumo_diario_agua,frequencia_atividade_fisica,tempo_usando_eletronicos,consumo_alcool,tipo_transporte
M,16.496978,1.691206,50.0,nao,sim,2.0,1.630846,,nao,2.975528,0.548991,0.369134,as vezes,transporte publico
,22.851773,1.752115,79.414603,sim,sim,3.0,1.0,as vezes,nao,2.0,2.315983,0.0,as vezes,transporte publico
M,30.444081,1.761068,118.370628,sim,sim,2.571274,3.0,as vezes,nao,2.224164,1.018158,1.152899,as vezes,carro
F,22.362877,1.607182,82.368441,sim,sim,1.880534,,as vezes,nao,2.313245,2.146778,0.196084,nao,transporte publico
M,18.525834,1.776989,57.275946,sim,sim,2.0,3.747163,as vezes,nao,2.575535,2.0,1.84383,nao,carro
M,18.04892,1.721384,99.430612,sim,sim,2.0,3.0,as vezes,nao,2.0,1.579431,0.839862,nao,transporte publico
F,19.091346,1.603923,45.0,nao,nao,3.0,3.0,frequentemente,nao,1.28246,1.60195,0.0,as vezes,transporte publico
F,18.540535,1.564568,41.397378,nao,sim,2.658112,1.0,as vezes,nao,1.298165,0.0,1.639326,as vezes,transporte publico
,26.0,1.640535,111.555967,sim,sim,3.0,3.0,as vezes,nao,2.634342,0.0,,as vezes,transporte publico
F,38.464538,1.696423,78.967919,sim,sim,3.0,3.0,as vezes,nao,2.981604,,0.0,nao,carro
M,18.0,1.717826,51.7325,sim,sim,,3.0,as vezes,nao,1.325326,0.227985,1.708309,as vezes,transporte publico
M,20.0,1.83,66.0,nao,nao,2.0,,as vezes,nao,2.0,1.0,1.0,nao,transporte publico
F,19.633898,1.66084,49.039794,nao,nao,2.750715,3.0,frequentemente,nao,,1.067817,1.0,as vezes,transporte publico
M,55.137881,1.657221,80.993213,sim,sim,2.0,3.0,as vezes,nao,2.0,1.0,0.0,nao,carro
M,,1.840708,98.259423,sim,,2.333503,1.820779,as vezes,nao,2.559265,1.327193,0.481357,as vezes,carro
M,28.404332,1.787379,112.173731,sim,sim,1.878251,3.0,as vezes,nao,2.022933,0.0,0.325445,as vezes,
F,23.0,1.65,80.0,sim,sim,,3.0,sempre,nao,2.0,0.0,2.0,nao,transporte publico
F,21.287999,1.555778,42.3601,nao,nao,2.318355,1.082304,frequentemente,nao,1.220365,0.033328,0.0,nao,transporte publico
F,37.205173,1.667469,80.993373,sim,sim,2.01054,2.77684,as vezes,nao,1.651548,0.0,0.790967,nao,carro
M,31.662814,1.848965,98.912261,sim,sim,2.399531,2.623079,as vezes,nao,2.535127,1.030752,0.606264,as vezes,carro
M,18.0,1.75,70.0,nao,sim,3.0,4.0,as vezes,nao,2.0,1.0,1.0,nao,
F,22.829681,1.616085,82.582954,sim,sim,2.663866,1.416309,as vezes,nao,2.379275,0.256323,0.598244,,transporte publico
M,21.0,1.76,78.0,sim,sim,3.0,1.0,as vezes,nao,2.0,,0.0,as vezes,andando
M,17.120699,1.809251,58.968994,sim,sim,2.524428,4.0,as vezes,nao,2.0,2.0,0.03838,nao,carro
M,21.624552,1.790151,106.320686,sim,sim,2.490776,3.0,as vezes,nao,2.654517,0.112454,0.756339,as vezes,transporte publico
F,27.899784,1.7,74.244004,sim,sim,2.0,3.0,as vezes,nao,2.0,1.722053,0.0,as vezes,carro
M,37.765356,1.763582,117.86159,sim,sim,2.145114,2.888193,as vezes,nao,2.038128,0.852344,0.0,,carro
M,21.620245,1.605314,66.621646,sim,sim,2.357496,3.376717,as vezes,nao,2.184843,1.358185,0.014885,as vezes,transporte publico
F,37.0,1.65,73.0,sim,nao,3.0,3.0,as vezes,nao,2.0,1.0,0.0,as vezes,carro
F,25.0,1.57,55.0,nao,sim,2.0,1.0,as vezes,nao,2.0,2.0,0.0,as vezes,transporte publico
F,22.0,1.56,49.0,nao,sim,2.0,,as vezes,nao,1.0,2.0,0.0,nao,andando
M,22.649792,1.685045,81.022119,sim,sim,2.0,2.756622,as vezes,nao,1.606076,0.432973,1.749586,nao,transporte publico
M,20.432717,1.719342,80.790813,sim,sim,2.215464,2.116195,as vezes,nao,1.80996,1.910577,0.971746,nao,transporte publico
M,28.39124,1.81006,87.286783,nao,sim,3.0,3.0,as vezes,nao,1.205633,2.0,0.0,nao,carro
M,18.0,1.78,64.4,sim,sim,3.0,,frequentemente,,2.0,3.0,2.0,nao,andando
M,21.029633,1.607082,67.722222,sim,sim,2.0,3.691226,nao,,3.0,,0.3352,as vezes,transporte publico
M,21.0,1.8,62.0,sim,sim,3.0,3.0,as vezes,nao,2.0,1.0,0.0,,transporte publico
F,22.998709,1.740108,53.65727,sim,sim,2.241606,3.0,frequentemente,nao,1.846626,2.460238,0.814518,nao,
M,19.337404,1.859927,87.105828,sim,sim,2.21232,4.0,as vezes,nao,2.374044,2.0,0.622638,as vezes,transporte publico
M,22.789402,1.64187,104.270062,sim,sim,2.869833,1.569176,as vezes,nao,1.533682,0.167943,1.368262,nao,transporte publico
M,31.199261,1.848845,125.077863,sim,sim,2.49619,3.0,as vezes,sim,1.662117,0.992371,0.217632,as vezes,transporte publico
F,23.099906,1.571812,78.997166,sim,sim,2.0,1.0,as vezes,nao,2.0,0.402614,0.0,nao,transporte publico
M,19.749627,1.680764,79.621463,sim,nao,1.83746,3.0,as vezes,,2.0,1.194519,1.212762,nao,transporte publico
F,36.310292,1.701397,83.0,sim,sim,2.0,1.0,as vezes,nao,2.0,1.472172,0.0,nao,carro
M,25.0,1.83,,sim,nao,3.0,3.0,as vezes,nao,3.0,2.0,0.0,as vezes,
F,27.0,1.55,,nao,sim,2.0,3.0,as vezes,nao,1.0,0.0,1.0,as vezes,carro
M,30.242597,,118.382361,sim,sim,2.312528,3.0,as vezes,nao,,1.07672,1.035711,as vezes,carro
M,23.884212,1.713825,83.952968,sim,sim,,2.6648,as vezes,nao,1.810738,0.80989,1.0,as vezes,transporte publico
F,18.0,1.56,51.0,sim,sim,2.0,4.0,frequentemente,nao,2.0,1.0,0.0,as vezes,transporte publico
F,26.0,1.627567,107.482662,sim,,3.0,3.0,as vezes,nao,2.687378,0.0,0.410651,as vezes,transporte publico
M,17.0,1.844749,59.313525,sim,sim,2.432886,3.0,as vezes,nao,,2.697949,1.0,nao,carro
M,22.343204,1.87034,121.458232,sim,sim,2.836055,2.675411,as vezes,nao,1.711666,0.93732,0.0,as vezes,
F,17.451085,1.6,,sim,sim,3.0,2.449723,as vezes,,2.0,0.479592,1.720642,as vezes,transporte publico
F,51.0,1.59,50.0,sim,nao,3.0,3.0,as vezes,sim,3.0,2.0,0.0,nao,transporte publico
M,24.408805,1.779547,118.740035,sim,sim,2.736298,2.992903,as vezes,nao,2.045561,0.854957,0.428452,as vezes,transporte publico
M,36.67933,1.780725,98.790167,sim,sim,2.540949,1.116401,as vezes,nao,2.929123,2.787319,,frequentemente,carro
F,23.421726,1.755467,133.478611,sim,sim,3.0,3.0,,nao,2.843782,1.302507,0.773807,as vezes,transporte publico
M,21.214617,1.930416,118.560509,sim,sim,2.0,3.0,as vezes,nao,3.0,0.732186,1.0,as vezes,transporte publico
F,19.442663,1.627812,82.0,sim,sim,1.081585,2.870661,as vezes,nao,1.11756,0.0,1.616826,as vezes,transporte publico
F,26.0,1.65632,111.93301,sim,sim,3.0,3.0,as vezes,nao,2.774014,0.0,0.138418,as vezes,transporte publico
F,26.0,1.600905,110.074946,sim,sim,3.0,3.0,as vezes,nao,2.555189,0.0,0.462973,as vezes,transporte publico
M,23.0,1.65,66.0,nao,nao,3.0,3.0,as vezes,nao,2.0,3.0,0.0,nao,transporte publico
M,17.0,1.7,70.0,sim,sim,,3.0,as vezes,nao,2.0,,2.0,as vezes,andando
F,26.0,1.631332,111.829957,sim,sim,3.0,3.0,as vezes,nao,2.55975,0.0,0.237307,as vezes,transporte publico
F,26.0,1.635905,111.571076,sim,sim,3.0,3.0,as vezes,nao,2.511399,0.0,0.258472,as vezes,transporte publico
F,39.392569,1.706349,85.720788,sim,sim,2.944287,1.466393,as vezes,nao,2.442775,,0.779334,nao,carro
M,36.839761,1.74285,106.421042,sim,sim,2.541785,2.902639,as vezes,nao,1.0,1.668961,0.0,nao,carro
M,17.908114,1.793926,59.682591,sim,sim,2.568063,4.0,as vezes,nao,2.0,2.0,0.220029,nao,carro
M,32.29016,1.754956,120.098812,sim,sim,2.9673,3.0,as vezes,nao,2.530035,0.955317,1.339232,as vezes,carro
M,28.363149,1.793476,112.725005,sim,sim,1.99124,3.0,as vezes,nao,,0.0,0.292956,as vezes,transporte publico
M,18.0,1.708107,51.314659,sim,sim,1.303878,3.0,as vezes,nao,1.755497,0.062932,1.672532,as vezes,transporte publico
M,18.900253,1.750359,79.828725,sim,sim,2.0,2.228113,as vezes,nao,2.045004,1.293665,0.961806,frequentemente,transporte publico
M,22.283082,1.870931,89.251639,sim,sim,2.0,2.799979,as vezes,nao,1.081333,0.444347,1.0,as vezes,transporte publico
F,18.535075,1.688025,45.0,nao,sim,3.0,3.0,as vezes,nao,3.0,2.539762,1.283673,nao,transporte publico
M,18.0,1.797523,108.316462,sim,sim,2.0,1.941307,as vezes,nao,2.708168,1.0,1.425852,nao,transporte publico
M,18.0,1.7,60.0,nao,sim,2.0,,as vezes,nao,2.0,2.0,1.0,nao,transporte publico
M,31.010302,1.764166,119.373019,sim,sim,2.970983,3.0,as vezes,nao,2.828861,0.454944,1.915818,as vezes,carro
F,18.845518,1.753471,80.0,sim,sim,2.0,1.391778,as vezes,nao,2.64548,2.685087,0.97554,nao,transporte publico
M,18.0,1.811738,108.897324,sim,sim,2.0,1.202179,as vezes,nao,2.36293,1.0,1.47574,nao,transporte publico
M,22.0,1.691303,80.539,sim,sim,2.0,2.038373,as vezes,nao,2.0,2.70825,1.506576,as vezes,transporte publico
,25.540865,1.678201,109.900472,sim,sim,3.0,3.0,as vezes,nao,1.471664,0.143955,0.444532,,transporte publico
M,21.997335,1.65,80.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.527341,2.0,nao,transporte publico
M,26.288417,1.767806,82.694689,sim,sim,1.947405,3.118013,as vezes,nao,2.136159,0.783963,0.88868,nao,transporte publico
F,22.226815,1.609068,83.785312,sim,sim,2.094184,2.735706,as vezes,nao,2.257922,2.230547,0.195339,nao,transporte publico
M,17.362129,1.80671,59.243506,sim,sim,2.424977,4.0,as vezes,nao,2.0,2.0,,nao,carro
M,20.738469,1.759933,55.003417,sim,sim,2.627031,3.832911,as vezes,nao,2.993448,2.0,1.425903,nao,transporte publico
F,19.052833,1.546551,42.069992,nao,,3.0,1.735493,as vezes,nao,2.318736,1.193486,0.74568,nao,transporte publico
M,22.549208,1.629194,70.0,nao,sim,2.0,1.0,nao,nao,2.803311,0.245354,0.0,as vezes,transporte publico
M,18.0,1.77,87.0,sim,sim,3.0,3.0,as vezes,nao,2.0,1.0,1.0,frequentemente,transporte publico
F,20.254534,1.56948,41.324558,nao,sim,2.392665,1.0,frequentemente,nao,1.0,0.0,0.738269,as vezes,transporte publico
F,21.394047,1.792933,137.832414,sim,sim,3.0,3.0,as vezes,nao,2.682909,1.318743,0.900497,as vezes,transporte publico
M,19.506389,1.824449,87.656029,sim,sim,2.793561,3.788602,as vezes,nao,2.429059,2.094542,0.393358,as vezes,transporte publico
F,21.0,1.66,,sim,sim,1.0,3.0,as vezes,nao,1.0,0.0,0.0,nao,transporte publico
M,24.0409,1.603226,99.605527,sim,sim,3.0,1.262831,as vezes,nao,1.0,0.883171,1.382995,nao,transporte publico
F,26.0,1.602025,104.899348,sim,sim,3.0,3.0,as vezes,nao,2.613928,0.0,0.553093,as vezes,transporte publico
F,16.0,1.6,57.0,nao,sim,3.0,3.0,as vezes,nao,1.0,3.0,0.0,,transporte publico
F,21.0,1.54,56.0,nao,sim,2.0,1.0,as vezes,nao,2.0,0.0,2.0,as vezes,transporte publico
F,17.823438,1.708406,50.0,nao,sim,1.642241,3.45259,as vezes,nao,1.099231,0.418875,1.0,as vezes,transporte publico
F,21.051107,1.753266,133.852432,sim,sim,3.0,3.0,as vezes,nao,2.95311,1.445148,0.67321,as vezes,transporte publico
M,29.681308,1.680058,89.994351,sim,sim,2.104772,2.376374,,nao,2.218691,1.52184,0.0,as vezes,carro
M,34.0,1.69,,sim,nao,2.0,3.0,as vezes,nao,3.0,,0.0,nao,carro
F,23.0,1.7,56.0,nao,,3.0,4.0,sempre,nao,3.0,3.0,0.0,nao,carro
F,28.770039,1.580858,79.713492,,sim,2.0,1.0,as vezes,nao,2.0,0.005405,0.0,nao,transporte publico
,19.478533,1.804099,85.196279,sim,sim,2.459976,3.30846,as vezes,nao,2.078011,1.779646,0.871772,as vezes,transporte publico
M,22.396504,1.869098,61.411141,sim,sim,3.0,3.263201,as vezes,nao,2.233274,1.557737,0.000355,as vezes,carro
M,28.404332,1.787379,112.173731,sim,sim,1.878251,3.0,as vezes,nao,2.022933,0.0,0.325445,as vezes,
M,40.501722,1.744974,111.169678,sim,sim,2.294259,2.850948,as vezes,nao,1.87029,0.917014,0.0,nao,carro
M,22.882558,1.793451,,sim,sim,1.899116,2.375026,as vezes,nao,1.39854,0.0,1.365793,as vezes,transporte publico
F,25.989938,1.644199,105.036075,sim,sim,3.0,3.0,as vezes,nao,2.310076,0.07115,0.733085,as vezes,transporte publico
M,39.569004,1.785286,100.431625,sim,sim,2.871768,1.792695,as vezes,nao,2.691322,2.545707,0.903903,frequentemente,carro
M,17.0,1.9,60.0,nao,nao,3.0,3.0,,nao,2.0,3.0,1.0,nao,andando
F,21.849705,1.770612,133.963349,sim,sim,3.0,3.0,as vezes,nao,2.825629,1.399183,0.928972,as vezes,transporte publico
M,23.562135,1.717432,75.371244,sim,sim,2.0,3.0,as vezes,nao,2.0,0.121585,1.967259,as vezes,transporte publico
M,20.432717,1.719342,80.790813,sim,sim,2.215464,2.116195,as vezes,nao,1.80996,1.910577,0.971746,nao,transporte publico
M,22.0,1.61,67.0,sim,nao,2.0,4.0,as vezes,nao,3.0,2.0,,as vezes,transporte publico
F,25.96773,1.603404,105.031908,sim,sim,3.0,3.0,as vezes,nao,1.919473,,0.546137,as vezes,transporte publico
M,28.992809,1.909105,129.874864,sim,sim,2.206119,3.0,as vezes,nao,1.483856,1.113169,0.0,as vezes,transporte publico
M,22.766227,1.874061,89.754302,sim,sim,2.0,2.870005,as vezes,nao,1.15031,0.417724,1.0,as vezes,carro
M,25.66668,1.79858,117.93329,sim,sim,2.037042,3.0,as vezes,nao,2.43699,1.016254,0.020044,as vezes,
F,22.209706,1.593847,44.050251,nao,nao,3.0,2.99321,frequentemente,nao,,1.967234,0.0,nao,transporte publico
,22.480889,1.605662,82.470375,sim,sim,1.557287,1.0,as vezes,nao,2.371015,0.288032,2.0,as vezes,transporte publico
F,21.001969,1.736215,132.145549,sim,sim,3.0,3.0,as vezes,nao,1.657541,1.672639,0.629285,as vezes,transporte publico
F,38.692265,,62.341438,sim,sim,2.956671,2.965494,as vezes,nao,2.868132,0.0,0.54925,as vezes,carro
F,,1.748106,133.259033,sim,sim,3.0,3.0,as vezes,nao,1.931163,1.562213,0.926565,as vezes,
F,21.0,1.66,,sim,sim,1.0,3.0,as vezes,nao,1.0,0.0,0.0,nao,transporte publico
M,18.0,1.73,70.0,nao,sim,3.0,3.0,frequentemente,nao,1.0,2.0,1.0,as vezes,transporte publico
M,21.0,1.75,50.0,sim,,3.0,4.0,frequentemente,nao,,1.0,0.0,nao,andando
,25.542454,1.763215,115.10813,sim,sim,,3.0,as vezes,nao,2.165408,1.315045,0.688985,as vezes,transporte publico
M,27.83173,1.704028,101.634313,sim,sim,2.630401,1.0,as vezes,nao,1.0,0.245354,0.315261,as vezes,carro
F,21.0,1.53,53.0,nao,sim,3.0,3.0,as vezes,nao,2.0,2.0,1.0,as vezes,transporte publico
M,41.0,1.75,118.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,0.0,as vezes,bicicleta
F,25.962949,1.623812,109.996742,sim,sim,,3.0,as vezes,nao,2.395387,0.000272,0.461532,,transporte publico
M,17.412629,,97.350366,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,0.931721,nao,transporte publico
F,40.0,1.570811,62.211572,sim,sim,2.253371,3.0,as vezes,nao,2.756916,1.016042,0.213437,as vezes,carro
F,18.0,1.45,53.0,nao,sim,2.0,3.0,frequentemente,nao,2.0,,2.0,frequentemente,transporte publico
M,18.0,1.786758,51.524444,nao,sim,2.91548,3.0,as vezes,nao,1.777486,1.077469,1.0,as vezes,transporte publico
M,18.721041,1.775626,80.113493,sim,sim,1.687569,2.756405,as vezes,nao,2.079131,2.931527,0.68173,nao,transporte publico
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
,19.671876,1.699474,78.0,sim,nao,1.925064,2.358298,as vezes,nao,2.774043,0.0,0.133566,nao,transporte publico
F,29.32038,,69.906708,sim,sim,2.366949,3.0,as vezes,nao,1.926577,1.581242,0.0,as vezes,carro
F,19.755797,1.542328,63.856193,nao,sim,2.628791,,as vezes,,1.512035,0.303722,0.003229,as vezes,transporte publico
F,21.938831,1.611239,67.939653,sim,sim,1.906194,3.987707,as vezes,nao,2.597746,1.922234,1.376124,as vezes,transporte publico
F,20.908785,1.700996,126.490236,sim,sim,3.0,3.0,as vezes,nao,1.242832,0.530925,0.575969,as vezes,transporte publico
F,,1.706343,93.348843,sim,sim,1.70825,3.0,as vezes,nao,1.0,0.899864,1.0,as vezes,transporte publico
M,22.977357,1.839699,120.431551,sim,sim,2.382705,2.938902,as vezes,nao,1.999278,1.686229,0.630866,as vezes,transporte publico
,19.665881,1.676346,49.105025,nao,nao,2.720701,3.0,as vezes,nao,2.0,1.862235,1.0,as vezes,transporte publico
F,19.275687,1.623377,82.851318,sim,sim,1.276858,2.918124,as vezes,nao,1.403784,0.552511,1.560402,as vezes,transporte publico
M,20.677105,1.781251,102.950929,sim,sim,2.0,3.0,as vezes,nao,1.618189,0.571648,0.0,nao,transporte publico
F,20.392665,1.525234,65.220249,sim,nao,2.451009,3.0,as vezes,nao,2.0,2.177243,1.323877,nao,transporte publico
M,27.0,1.83,99.0,sim,sim,3.0,1.0,frequentemente,nao,2.0,2.0,1.0,as vezes,andando
F,23.090215,1.596586,80.726195,sim,sim,1.518966,1.0,as vezes,nao,2.0,0.0,1.094046,nao,
F,20.0,1.68,68.0,nao,,3.0,1.0,as vezes,nao,1.0,1.0,,nao,transporte publico
M,24.06894,1.706912,85.743727,sim,sim,2.0,2.994198,as vezes,nao,2.747302,0.0,0.799756,as vezes,transporte publico
F,20.989016,1.80734,155.872093,sim,sim,3.0,3.0,as vezes,nao,2.417122,0.952725,0.573958,as vezes,transporte publico
M,22.0,1.68,55.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,2.0,as vezes,carro
,19.59904,1.566501,41.706283,nao,sim,2.967853,1.0,frequentemente,nao,1.131185,0.0,0.504176,as vezes,transporte publico
M,24.739421,1.757069,117.298233,sim,,1.392665,3.0,as vezes,nao,2.0,1.097983,0.630866,as vezes,transporte publico
F,45.0,1.675953,79.66832,sim,sim,2.598051,3.0,as vezes,nao,1.0,0.0,0.0,nao,carro
M,38.71216,1.770278,117.29188,sim,sim,2.252382,2.842848,as vezes,nao,1.879381,0.919388,0.0,as vezes,carro
F,19.364339,1.80835,150.51648,sim,sim,3.0,3.0,as vezes,nao,,1.734424,0.863043,as vezes,transporte publico
M,39.585811,1.719153,86.464843,sim,sim,2.325623,1.313403,as vezes,nao,,0.604259,0.0,nao,carro
F,23.090215,1.596586,80.726195,sim,sim,1.518966,1.0,as vezes,nao,2.0,0.0,1.094046,nao,
M,22.766227,1.874061,89.754302,sim,sim,2.0,2.870005,as vezes,nao,1.15031,0.417724,1.0,as vezes,carro
F,19.47219,1.793824,160.935351,sim,sim,3.0,3.0,as vezes,nao,2.069257,1.986646,0.947091,as vezes,transporte publico
M,29.681308,1.680058,89.994351,sim,sim,2.104772,2.376374,,nao,2.218691,1.52184,0.0,as vezes,carro
F,22.0,1.67,50.0,sim,nao,3.0,3.0,nao,nao,3.0,2.0,1.0,as vezes,transporte publico
M,40.366238,1.722396,109.349025,sim,sim,2.281963,3.770379,as vezes,nao,1.0,1.330519,0.0,nao,carro
F,39.965474,1.739293,80.914382,nao,sim,2.416044,3.196043,as vezes,nao,1.352649,0.148628,1.08266,as vezes,carro
M,22.0,1.74,75.0,sim,sim,3.0,3.0,frequentemente,nao,1.0,1.0,0.0,nao,carro
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
M,17.203917,1.853325,59.619485,sim,,2.883745,3.595761,as vezes,nao,2.0,2.077653,0.714701,nao,carro
,30.686701,1.644517,100.004418,sim,sim,2.96405,2.123138,as vezes,nao,1.0,,0.620465,nao,transporte publico
M,,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
M,28.992809,1.909105,129.874864,sim,sim,2.206119,3.0,as vezes,nao,1.483856,1.113169,0.0,as vezes,transporte publico
M,23.246702,1.652971,93.310284,sim,sim,1.368978,3.0,as vezes,nao,1.953152,0.104707,0.22183,nao,carro
M,26.0,1.7,70.0,sim,nao,3.0,1.0,frequentemente,nao,2.0,2.0,0.0,frequentemente,transporte publico
F,22.693989,1.627908,82.0,sim,sim,1.918251,1.355752,as vezes,nao,1.998108,0.0,1.382906,as vezes,transporte publico
M,24.679807,1.7,84.687554,sim,sim,2.0,,as vezes,nao,2.020424,0.0,1.0,as vezes,transporte publico
F,37.597953,1.62901,80.0,,sim,2.450784,2.952821,as vezes,,1.335192,0.180276,0.0,as vezes,carro
F,30.0,1.71,82.0,sim,sim,3.0,4.0,,sim,1.0,0.0,0.0,nao,carro
F,23.0,1.64,52.0,nao,sim,3.0,1.0,as vezes,nao,2.0,2.0,2.0,nao,transporte publico
M,21.0,1.75,50.0,sim,,3.0,4.0,frequentemente,nao,,1.0,0.0,nao,andando
F,19.946244,1.603435,45.0,nao,nao,3.0,3.0,frequentemente,nao,2.487919,1.230441,0.0,as vezes,transporte publico
M,18.0,1.787733,108.019211,sim,sim,2.0,2.37985,as vezes,nao,,1.0,0.652485,nao,transporte publico
M,18.0,1.76,68.0,nao,nao,2.0,4.0,frequentemente,nao,2.0,1.0,1.0,as vezes,transporte publico
M,23.826684,1.783609,120.921535,,sim,2.591292,2.956422,as vezes,nao,2.31083,1.48524,0.281815,,transporte publico
F,22.239836,1.59994,65.423942,nao,sim,2.99448,3.0,as vezes,nao,1.706568,0.784216,0.150969,as vezes,transporte publico
M,23.0,1.74,105.0,sim,sim,3.0,3.0,as vezes,nao,2.0,1.0,0.0,as vezes,transporte publico
M,29.713169,1.763259,113.215814,sim,sim,2.181057,3.0,as vezes,nao,2.08554,0.0,1.439004,as vezes,carro
M,33.0,1.85,85.0,nao,sim,2.0,3.0,frequentemente,nao,2.0,1.0,0.0,as vezes,carro
,29.740496,1.820471,87.668828,nao,,3.0,3.0,as vezes,nao,1.174611,2.0,0.0,nao,carro
F,21.768834,1.733383,135.524857,sim,sim,3.0,3.0,as vezes,nao,1.485736,1.950374,0.869238,as vezes,transporte publico
M,22.976188,1.825718,121.236915,sim,sim,2.397284,,as vezes,nao,1.983973,1.859667,0.0026,as vezes,transporte publico
M,26.0,1.745033,80.0,sim,sim,2.217267,1.193589,as vezes,nao,2.0,2.0,0.0,as vezes,transporte publico
M,18.0,1.87,173.0,sim,sim,3.0,3.0,frequentemente,nao,2.0,,1.0,as vezes,transporte publico
M,22.0,1.691303,80.539,sim,sim,2.0,2.038373,as vezes,nao,2.0,2.70825,1.506576,as vezes,transporte publico
M,21.0,1.65,53.0,sim,sim,2.0,3.0,as vezes,nao,2.0,1.0,0.0,as vezes,transporte publico
M,31.755387,1.775416,121.204668,sim,sim,2.758394,3.0,as vezes,nao,2.161303,0.428173,0.716327,as vezes,carro
M,23.0,1.753716,106.49141,sim,sim,2.740633,3.0,as vezes,nao,2.081005,0.650235,0.76906,as vezes,transporte publico
F,22.956845,1.618686,81.281578,sim,sim,,1.073421,as vezes,nao,1.979833,0.022598,0.061282,nao,transporte publico
F,19.0,1.5,50.0,nao,sim,2.0,3.0,frequentemente,nao,1.0,0.0,2.0,as vezes,transporte publico
M,25.526746,1.783381,115.347176,sim,sim,2.191429,3.0,as vezes,nao,2.102709,1.32534,0.380979,as vezes,transporte publico
F,21.322097,1.751118,149.291106,sim,sim,3.0,3.0,as vezes,nao,2.309409,1.68291,0.70558,as vezes,transporte publico
,34.098174,1.841151,91.798103,,sim,2.0,2.997414,as vezes,nao,1.259454,0.935217,0.9976,as vezes,carro
M,26.050109,1.773115,115.089316,sim,sim,2.392179,3.0,as vezes,nao,2.16467,1.079934,1.073026,as vezes,transporte publico
F,22.0,1.73,79.0,sim,sim,2.0,1.0,as vezes,nao,2.0,1.0,0.0,as vezes,transporte publico
F,19.314429,1.67231,49.713944,nao,sim,2.562409,3.488342,as vezes,nao,1.67062,2.0,1.0,as vezes,transporte publico
F,22.77789,1.661415,120.748213,sim,sim,3.0,3.0,as vezes,nao,1.91039,,0.77582,as vezes,transporte publico
M,20.9859,1.780503,103.189532,sim,sim,2.0,3.0,as vezes,nao,1.608128,0.478134,0.0,nao,transporte publico
F,17.0,1.63,65.0,nao,sim,2.0,1.0,as vezes,nao,3.0,1.0,1.0,nao,transporte publico
M,33.049121,1.708742,,sim,sim,2.0,1.171027,as vezes,nao,2.405172,2.300282,0.0,nao,carro
F,32.278869,1.64602,74.147443,sim,sim,2.885178,2.562895,as vezes,nao,1.017006,0.588673,0.916291,as vezes,carro
M,23.0,,60.0,sim,sim,3.0,1.0,as vezes,nao,1.0,1.0,1.0,as vezes,transporte publico
F,19.408999,1.670552,49.804245,nao,sim,2.794197,3.409363,as vezes,nao,,,1.0,as vezes,transporte publico
M,19.627,1.815409,85.302146,sim,sim,2.987148,3.483449,as vezes,nao,2.359246,2.060415,0.598999,as vezes,transporte publico
M,26.70371,1.802871,85.770013,sim,sim,2.872121,3.051804,as vezes,nao,2.111913,0.843709,,as vezes,carro
M,21.052016,1.69382,99.530971,sim,sim,2.0,1.672751,as vezes,nao,2.0,0.0,1.946173,nao,transporte publico
,23.32012,1.705813,82.011962,sim,sim,2.784471,2.122545,as vezes,nao,2.984153,2.164472,0.203978,as vezes,transporte publico
F,38.097395,1.696954,78.156035,sim,sim,3.0,3.0,as vezes,nao,2.166024,0.0,0.0,nao,carro
F,21.529439,1.592379,44.00945,,nao,3.0,1.612747,frequentemente,nao,2.566629,1.190465,0.0,nao,transporte publico
M,18.0,1.76,68.0,nao,nao,2.0,4.0,frequentemente,nao,2.0,1.0,1.0,as vezes,transporte publico
M,23.0,1.7425,105.028665,sim,sim,2.393837,3.0,as vezes,nao,2.01499,0.978815,0.41322,as vezes,transporte publico
F,21.687409,1.604697,68.016472,sim,sim,1.901611,3.266501,nao,,2.926995,0.985872,0.307982,as vezes,transporte publico
M,17.0,1.824414,59.295172,sim,sim,2.432302,3.0,as vezes,nao,2.0,2.349495,1.0,nao,carro
M,18.0,1.742819,86.565148,sim,sim,3.0,3.0,as vezes,nao,2.0,2.040816,,as vezes,transporte publico
M,17.038222,1.710564,51.588874,nao,sim,2.0,2.057935,as vezes,nao,2.371015,0.288032,0.714627,as vezes,transporte publico
M,18.128206,1.778447,80.273807,sim,sim,1.570089,3.0,as vezes,nao,2.0,2.707882,0.0,nao,transporte publico
M,18.128206,1.778447,80.273807,sim,sim,1.570089,3.0,as vezes,nao,2.0,2.707882,0.0,nao,transporte publico
F,20.0,1.57,60.0,nao,sim,3.0,,as vezes,nao,3.0,0.0,1.0,as vezes,transporte publico
